"","gene","logFC","logCPM","LR","PValue","FDR"
"6561","CADPS2",-0.557886338868092,7.35179750689971,0.822919566365719,0.364327933820911,0.576616562230809
"6562","PDLIM3",-1.07089993454705,6.22437212542324,0.822657120262245,0.364404430030047,0.576649741150871
"6563","LTV1",-1.67587160850747,5.61737860683559,0.822227115734759,0.364529813242426,0.576760259135966
"6564","VPS37D",-1.67798567471233,5.49338205933879,0.82157724990184,0.364719418304036,0.576972339986154
"6565","PSTPIP2",-1.69193591702126,5.51199060194839,0.820841178779503,0.36493433969513,0.57716458508685
"6566","AUNIP",-1.67029480018777,5.65051336723738,0.820780359924033,0.364952105708807,0.57716458508685
"6567","PALLD",-0.467888236676965,8.25283744675849,0.820074538401332,0.365158373459515,0.577402855185564
"6568","CASP6",-1.66986279393407,5.70383989382416,0.819617440822183,0.365292040878289,0.577439944635718
"6569","ZNF185",-1.68216144477302,5.57941892265616,0.819614002333813,0.365293046640219,0.577439944635718
"6570","DEGS2",-1.68024715822414,5.56581262712414,0.818221508372836,0.365700668607646,0.57799630788764
"6571","LIX1L",0.828532986513295,6.08772570256707,0.817776058017016,0.365831197566947,0.578114618100012
"6572","ZNF703",-1.66934872788754,5.59208651682913,0.816472824829165,0.366213451391558,0.578630626787878
"6573","RPS8",-0.595606539337676,7.14963806729303,0.815581924812271,0.366475082032146,0.578955918427173
"6574","OTX1",-1.67482193020655,5.58890757542943,0.814997004264791,0.366646996799172,0.579074016930302
"6575","EMC1",-1.09845993618111,6.07541938270416,0.814948119885577,0.366661369541288,0.579074016930302
"6576","KCNJ14",-1.6658305558278,5.5451501276057,0.813862565930929,0.366980740441058,0.579490268968969
"6577","S100A13",-1.08475352364862,6.06237053143637,0.813243600278041,0.367163013664865,0.579604613802176
"6578","M6PR",-0.843877243805395,6.538287585505,0.813237580009883,0.367164787133158,0.579604613802176
"6579","RNF25",1.07883762586384,5.6990695460168,0.812934167255129,0.367254182773726,0.579657612695299
"6580","FITM2",-1.66442068396593,5.61283621996882,0.812597370990066,0.367353449749295,0.579726173586122
"6581","AGBL5",-0.856081728242509,6.26456909841179,0.811289701175163,0.36773922469052,0.580246787598596
"6582","NOXRED1",-1.12308055175578,5.80494108979345,0.809915497428499,0.368145235081681,0.58079916759164
"6583","MXRA8",-1.66356076210896,5.53030172184619,0.809449796175496,0.368282968622253,0.580928200846647
"6584","USP19",-1.65606931008605,5.71363168091039,0.809216853523225,0.368351889511735,0.580941714331713
"6585","USP4",-0.598650986747826,7.2425919304404,0.809042702940578,0.368403427279886,0.580941714331713
"6586","NDUFAF3",1.0300226067651,5.77701835577652,0.808853292451015,0.368459492426958,0.580941902423555
"6587","TBC1D16",-1.07498448862707,6.05981775682448,0.808580837778386,0.36854015932295,0.580980873600958
"6588","SLC25A40",0.6166858332971,6.65957286196153,0.808174036728092,0.368660648521484,0.581082600826821
"6589","APEH",-1.66927707614773,5.6202724308555,0.807549471466889,0.36884574341175,0.581286113156415
"6590","MEIOB",-1.66899464190643,5.56873874626375,0.807058652615237,0.368991292299532,0.581427250263785
"6591","RPP40",-1.66504460920583,5.48670911832351,0.805313513675408,0.369509449400808,0.582155381972081
